CityID,CityName,RegionID,LatestRecordedPopulation
1,Aaronsburg,39,613
3,Abanda,1,192
4,Abbeville,42,5237
5,Abbeville,11,2908
6,Abbeville,1,2688
7,Abbeville,19,12257
8,Abbeville,25,419
9,Abbotsford,52,2310
10,Abbott,45,356
11,Abbott,4,356
12,Abbott,32,NULL
13,Abbott,49,356
14,Abbott,51,NULL
15,Abbottsburg,34,NULL
16,Abbottstown,39,1011
17,Abbyville,17,87
18,Abell,45,NULL
19,Abercrombie,35,263
20,Aberdeen,43,26091
21,Aberdeen,21,14959
22,Aberdeen,50,16896
23,Aberdeen,13,1994
24,Aberdeen,34,6350
25,Aberdeen,25,5612
26,Aberdeen,36,1638
27,Aberdeen,18,NULL
28,Aberfoil,1,NULL
29,Abernant,1,NULL
30,Abernathy,45,2805
31,Abeytas,32,56
32,Abie,28,69
33,Abilene,45,117063
34,Abilene,17,6844
35,Abingdon,14,3319
36,Abingdon,49,8191
37,Abingdon,16,NULL
38,Abingdon,21,NULL
39,Abington,39,NULL
40,Abington,22,15985
41,Abiquiu,32,231
42,Abita Springs,19,2365
43,Abo,32,NULL
44,Aboite,15,NULL
45,Abraham,46,NULL
46,Abram,45,2067
47,Abrams,52,340
48,Absarokee,27,1150
49,Absecon,31,8411
50,Academy,43,NULL
51,Acampo,5,341
52,Accident,21,325
53,Accokeek,21,10573
54,Accomac,49,519
55,Accord,33,562
56,Accord,22,NULL
57,Ace,45,NULL
58,Aceitunas,40,1436
59,Acequia,13,124
60,Achille,37,492
61,Achilles,49,NULL
62,Ackerly,45,220
63,Ackerman,25,1510
64,Ackley,16,1589
65,Ackworth,16,83
66,Acme,50,246
67,Acme,45,NULL
68,Acme,53,NULL
69,Acme,19,NULL
70,Acme,32,NULL
71,Acoma,29,NULL
72,Acomita,32,NULL
73,Acorn,49,NULL
74,Acra,33,NULL
75,Acree,11,NULL
76,Acton,20,NULL
77,Acton,27,NULL
78,Acton,22,NULL
79,Acton,5,7596
80,Acushnet,22,3073
81,Acworth,30,NULL
82,Acworth,11,20425
83,Acy,19,NULL
84,Ada,19,NULL
85,Ada,52,NULL
86,Ada,17,100
87,Ada,36,5952
88,Ada,37,16810
89,Ada,24,1707
90,Adair,16,781
91,Adair,14,210
92,Adair,37,790
93,Adair Village,38,840
94,Adairsville,11,4648
95,Adairville,18,852
