"ORDERID","USERID","SALESREPPERSONID","CONTACTPERSONID","ORDERDATE","EXPECTEDDELIVERYDATE","CUSTOMERPURCHASEORDERNUMBER","ISUNDERSUPPLYBACKORDERED","PICKINGCOMPLETEDWHEN","LASTEDITEDBY","LASTEDITEDWHEN"
3888,990,2,3190,23-04-05,23-04-09,"12808",1,23-04-09,20,23-04-06
3889,836,8,3036,24-11-22,24-11-28,"13177",1,24-11-25,20,24-11-24
3890,985,2,3185,24-07-10,24-07-11,"15543",1,24-07-14,20,24-07-14
3891,906,14,3106,23-08-19,23-08-28,"19062",1,23-08-21,13,23-08-23
3892,998,2,3198,24-09-06,24-09-08,"13507",1,24-09-08,20,24-09-10
3893,130,8,1259,23-02-05,23-02-11,"12530",1,23-02-09,20,23-02-06
3894,849,6,3049,24-02-06,24-02-15,"10152",1,24-02-10,20,24-02-11
3895,480,14,2159,24-05-07,24-05-09,"14673",1,24-05-11,20,24-05-10
3896,195,15,1389,23-10-31,23-11-05,"13379",1,23-11-01,20,23-11-02
3897,173,15,1345,24-06-21,24-06-26,"12525",1,24-06-22,20,24-06-26
3898,574,6,2347,23-09-30,23-10-03,"11608",1,23-10-04,20,23-10-05
3899,530,8,2259,23-11-21,23-11-27,"12201",1,23-11-22,20,23-11-24
3900,537,6,2273,23-12-24,23-12-27,"11040",1,23-12-28,20,23-12-27
3901,403,6,2005,23-10-17,23-10-23,"17467",1,23-10-19,13,23-10-21
3902,804,2,3004,23-06-22,23-06-27,"18458",1,23-06-23,20,23-06-25
3903,74,15,1147,24-05-03,24-05-05,"16143",1,24-05-07,20,24-05-04
3904,8,8,1015,24-02-04,24-02-13,"17875",1,24-02-05,20,24-02-05
3905,126,15,1251,23-10-15,23-10-19,"13232",1,23-10-19,20,23-10-17
3906,891,20,3091,23-09-09,23-09-10,"16390",1,23-09-14,20,23-09-12
3907,81,16,1161,23-05-11,23-05-18,"13558",1,23-05-14,13,23-05-12
3908,579,7,2357,23-04-25,23-04-30,"19713",1,23-04-29,20,23-04-27
3909,500,7,2199,24-05-09,24-05-17,"18825",1,24-05-11,20,24-05-13
3910,15,15,1029,24-11-02,24-11-04,"17397",1,24-11-07,13,24-11-05
3911,137,20,1273,24-03-27,24-04-04,"13926",1,24-03-28,20,24-03-31
3912,168,14,1335,23-04-04,23-04-12,"10643",1,23-04-05,20,23-04-08
3913,185,6,1369,24-12-04,24-12-12,"10498",1,24-12-08,20,24-12-08
3914,837,14,3037,23-08-06,23-08-13,"14285",1,23-08-08,20,23-08-10
3915,446,2,2091,23-07-20,23-07-28,"17443",1,23-07-24,20,23-07-23
3916,542,20,2283,24-09-15,24-09-21,"17641",1,24-09-19,13,24-09-17
3917,973,8,3173,24-12-04,24-12-14,"17607",1,24-12-08,13,24-12-07
3918,825,20,3025,24-12-29,25-01-07,"13425",1,25-01-01,20,24-12-30
3919,812,8,3012,23-05-31,23-06-08,"19959",1,23-06-02,20,23-06-03
3920,806,8,3006,24-09-06,24-09-16,"16919",1,24-09-08,20,24-09-08
3921,47,2,1093,24-01-18,24-01-23,"17624",1,24-01-22,20,24-01-21
3922,891,6,3091,23-01-17,23-01-23,"18929",1,23-01-21,16,23-01-22
3923,530,14,2259,24-02-20,24-02-29,"10867",1,24-02-21,7,24-02-24
3924,527,6,2253,24-05-15,24-05-21,"12631",1,24-05-19,7,24-05-18
3925,443,3,2085,24-09-18,24-09-27,"16292",1,24-09-21,3,24-09-19
3926,90,15,1179,24-06-02,24-06-08,"10885",1,24-06-07,3,24-06-04
3927,906,14,3106,24-01-27,24-02-06,"19062",1,24-01-29,3,24-01-29
3928,403,6,2005,24-03-28,24-04-01,"17467",1,,13,24-04-01
3929,81,16,1161,24-08-06,24-08-08,"13558",1,,13,24-08-09
3930,15,15,1029,24-09-12,24-09-20,"17397",1,24-09-13,13,24-09-14
3931,542,20,2283,23-08-06,23-08-12,"17641",1,23-08-11,17,23-08-11
3932,973,8,3173,23-06-26,23-07-03,"17607",1,23-06-28,3,23-06-27
3933,955,3,3155,24-03-09,24-03-10,"14971",1,24-03-12,3,24-03-12
3934,526,7,2251,24-03-12,24-03-18,"12724",1,24-03-15,3,24-03-13
3935,488,13,2175,23-08-16,23-08-17,"12482",1,23-08-18,3,23-08-18
3936,194,7,1387,24-03-11,24-03-18,"13394",1,24-03-15,3,24-03-13
3937,42,16,1083,24-07-02,24-07-09,"17454",1,24-07-05,3,24-07-06
3938,412,8,2023,24-04-20,24-04-28,"14605",1,24-04-24,3,24-04-21
3939,970,7,3170,23-03-25,23-04-02,"16658",1,23-03-29,3,23-03-29
3940,905,14,3105,24-08-13,24-08-15,"16842",1,24-08-17,3,24-08-15
3941,444,6,2087,23-06-21,23-06-23,"15928",1,23-06-24,3,23-06-25
3942,966,8,3166,24-05-20,24-05-22,"14545",1,24-05-23,3,24-05-21
3943,939,13,3139,24-09-19,24-09-24,"16130",1,24-09-23,9,24-09-22
3944,14,20,1027,24-01-14,24-01-15,"15219",1,24-01-18,3,24-01-16
3945,829,8,3029,23-07-19,23-07-24,"18875",1,23-07-23,3,23-07-24
3946,925,16,3125,23-12-22,23-12-27,"12279",1,23-12-24,3,23-12-26
3947,27,7,1053,24-08-13,24-08-17,"16801",1,24-08-15,3,24-08-16
3948,840,13,3040,24-06-18,24-06-21,"17397",1,24-06-21,3,24-06-21
3949,865,14,3065,23-06-08,23-06-17,"10747",1,23-06-10,3,23-06-10
3950,122,8,1243,24-07-12,24-07-17,"18362",1,24-07-15,3,24-07-15
3951,883,14,3083,23-07-12,23-07-15,"11541",1,23-07-14,3,23-07-13
3952,818,3,3018,24-08-20,24-08-27,"16136",1,24-08-22,3,24-08-23
3953,923,16,3123,23-03-25,23-03-31,"16869",1,23-03-28,3,23-03-27
3954,813,16,3013,24-02-15,24-02-25,"16639",1,24-02-17,3,24-02-16
3955,176,3,1351,24-01-27,24-02-03,"15448",1,24-01-29,3,24-01-30
3956,901,2,3101,23-09-07,23-09-09,"19869",1,23-09-10,3,23-09-08
3957,448,7,2095,23-08-31,23-09-09,"14641",1,23-09-04,3,23-09-02
