"ORDERLINEID","ORDERID","ITEMID","DESCRIPTION","QUANTITY","UNITPRICE","TAXRATE","PICKEDQUANTITY","PICKINGCOMPLETEDWHEN"
227,100,38,"Developer joke mug - inheritance is the OO way to become wealthy (White)",7,13,15,7,24-06-16
228,100,42,"Developer joke mug - understanding recursion requires understanding recursion (White)",4,13,15,4,24-06-16
229,100,49,"Developer joke mug - this code was generated by a tool (Black)",10,13,15,10,24-06-16
230,139,130,"Furry gorilla with big eyes slippers (Black) S",4,32,15,4,24-11-25
231,101,48,"Developer joke mug - this code was generated by a tool (White)",6,13,15,6,23-11-02
232,139,154,"Medium sized bubblewrap roll 20m",50,20,15,50,24-11-25
233,102,196,"Black and orange handle with care despatch tape  48mmx100m",216,4.1,15,216,24-08-02
234,102,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",60,18,15,60,24-08-02
235,102,118,"Dinosaur battery-powered slippers (Green) S",10,32,15,10,24-08-02
236,103,136,"Animal with big feet slippers (Brown) L",9,32,15,9,24-01-17
237,103,213,"Air cushion film 200mmx100mm 325m",5,87,15,5,24-01-17
238,104,29,"DBA joke mug - two types of DBAs (Black)",4,13,15,4,23-01-08
239,104,206,"Permanent marker black 5mm nib (Black) 5mm",24,2.7,15,24,23-01-08
240,140,79,"""The Gu"" red shirt XML tag t-shirt (White) S",36,18,15,36,23-07-19
241,104,1,"USB missile launcher (Green)",10,25,15,10,23-01-08
242,105,29,"DBA joke mug - two types of DBAs (Black)",9,13,15,9,23-12-22
243,105,3,"Office cube periscope (Black)",80,18.5,15,80,23-12-22
244,106,126,"Plush shark slippers (Gray) S",5,32,15,5,24-06-09
245,106,112,"Superhero action jacket (Blue) L",3,30,15,3,24-06-09
246,106,9,"USB food flash drive - banana",3,32,15,3,24-06-09
247,106,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",48,18,15,48,24-06-09
248,141,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",60,18,15,60,24-08-17
249,107,133,"Furry gorilla with big eyes slippers (Black) XL",1,32,15,1,23-02-16
250,107,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",108,18,15,108,23-02-16
251,107,51,"Developer joke mug - old C developers never die (Black)",1,13,15,1,23-02-16
252,142,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",120,18,15,120,24-02-05
253,108,206,"Permanent marker black 5mm nib (Black) 5mm",72,2.7,15,72,23-01-11
254,108,9,"USB food flash drive - banana",8,32,15,8,23-01-11
255,108,15,"USB food flash drive - dessert 10 drive variety pack",4,240,15,4,23-01-11
256,143,216,"Void fill 100 L bag (White) 100L",40,12.5,15,40,23-04-18
257,109,193,"Black and orange glass with care despatch tape 48mmx75m",24,3.7,15,24,23-04-13
258,109,28,"DBA joke mug - two types of DBAs (White)",7,13,15,7,23-04-13
259,110,207,"Permanent marker blue 5mm nib (Blue) 5mm",48,2.7,15,48,23-10-25
260,110,206,"Permanent marker black 5mm nib (Black) 5mm",72,2.7,15,72,23-10-25
261,144,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",120,18,15,120,24-12-21
262,110,134,"Animal with big feet slippers (Brown) S",8,32,15,8,23-10-25
263,110,2,"USB rocket launcher (Gray)",4,25,15,4,23-10-25
264,111,137,"Animal with big feet slippers (Brown) XL",1,32,15,1,24-10-09
265,111,166,"10 mm Anti static bubble wrap (Blue) 20m",60,42,15,60,24-10-09
266,112,30,"Developer joke mug - Oct 31 = Dec 25 (White)",9,13,15,9,24-05-29
